0,9.0389,9.0445,2.929687e-07,823.09,9952.75
200,7.0942,7.0567,5.888672e-05,709.17,11551.58
400,5.0667,5.0443,1.174805e-04,804.57,10181.82
600,4.1764,4.1302,1.760742e-04,625.72,13092.22
800,3.3646,3.6979,2.346680e-04,626.05,13085.24
1000,3.1819,3.4813,2.932617e-04,626.44,13077.04
1200,3.3972,3.2438,2.999623e-04,625.39,13099.08
1400,3.3529,3.1015,2.998279e-04,624.93,13108.71
1600,2.7151,2.9718,2.995962e-04,626.08,13084.64
1800,2.6112,2.9061,2.992674e-04,625.38,13099.21
2000,2.9742,2.8251,2.988417e-04,632.23,12957.41
2200,2.2529,2.7930,2.983194e-04,635.37,12893.31
2400,2.9249,2.7012,2.977010e-04,632.72,12947.24
2600,2.8627,2.6645,2.969868e-04,632.48,12952.27
2800,2.0509,2.6523,2.961773e-04,632.58,12950.06
3000,2.3109,2.5801,2.952732e-04,655.18,12503.44
3200,2.2246,2.5669,2.942751e-04,661.15,12390.45
3400,2.7109,2.5173,2.931837e-04,661.16,12390.41
3600,2.6960,2.5103,2.919999e-04,661.24,12388.80
3800,2.7137,2.4700,2.907243e-04,661.38,12386.30
4000,2.1375,2.4683,2.893581e-04,653.07,12543.91
4200,2.6709,2.4274,2.879021e-04,653.92,12527.58
4400,1.9039,2.4361,2.863575e-04,653.95,12526.93
4600,2.0998,2.4182,2.847253e-04,652.92,12546.71
4800,2.0273,2.3832,2.830067e-04,652.35,12557.74
5000,2.5496,2.3804,2.812029e-04,653.33,12538.78
5200,2.0150,2.3867,2.793153e-04,653.44,12536.69
5400,2.5581,2.3392,2.773453e-04,658.46,12441.19
5600,2.5052,2.3291,2.752941e-04,667.44,12273.83
5800,2.4611,2.3180,2.731634e-04,667.51,12272.52
6000,2.2808,2.3013,2.709546e-04,656.53,12477.66
6200,1.8903,2.3146,2.686694e-04,652.18,12561.00
6400,2.3660,2.2913,2.663093e-04,652.11,12562.26
6600,1.8893,2.2955,2.638762e-04,652.03,12563.80
6800,2.3961,2.2613,2.613717e-04,652.18,12560.89
7000,1.8835,2.2653,2.587977e-04,652.50,12554.74
7200,1.7721,2.2651,2.561560e-04,652.23,12560.08
7400,1.6888,2.2574,2.534485e-04,652.42,12556.29
7600,1.7529,2.2463,2.506773e-04,652.22,12560.21
